tab_code,tab_name,cat01_code,cat01_name,cat02_code,cat02_name,cat03_code,cat03_name,area_code,area_name,time_code,time_name,value
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1968000000,1968年,10021
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1967000000,1967年,9588
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1966000000,1966年,9083
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1965000000,1965年,8551
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1964000000,1964年,8022
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1963000000,1963年,7687
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1962000000,1962年,7520
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1961000000,1961年,7359
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1960000000,1960年,7207
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1959000000,1959年,7030
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1958000000,1958年,6837
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1957000000,1957年,6620
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1956000000,1956年,6141
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1955000000,1955年,5426
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1954000000,1954年,4471
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1953000000,1953年,3490
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1952000000,1952年,2874
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1951000000,1951年,2455
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1950000000,1950年,2100
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1949000000,1949年,1787
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000020,学校数（園数）,00000,全国,1948000000,1948年,1529
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2016000000,2016年,1328791
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2015000000,2015年,1402448
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2014000000,2014年,1557461
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2013000000,2013年,1583610
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2012000000,2012年,1604225
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2011000000,2011年,1596170
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2010000000,2010年,1605912
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2009000000,2009年,1630336
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2008000000,2008年,1674163
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2007000000,2007年,1705402
0000000850,学校数・在学者数・教職員数,0000020,幼稚園,0000010,計,0000030,在籍者数（在園者数）,00000,全国,2006000000,2006年,1726520
